reviewId,final_text,aspek_llm,sentimen_llm
c8f2a8cd-724e-41b7-bb98-d8ead9f1d881,mudah bertransaksi menyusahkan nasabah transfer transaksi terkendala mengirimkan keluhan mandiricare,interaction capability,0
973b3231-de65-4acf-9d15-ab136cd2cb24,tidak bisa top tidak bisa transfer tidak bisa terkendala pengaturan jam giliran otomatis tidak bisa parah,security,0
99b3625e-11cd-4c09-97b0-8d0d687a037b,alhamdulillah proses transfer berfungsi kendala menu pembayaran menu pembayaran belum bisa harap dikembangkan terima kasih,functional suitability,1
a59ff1c9-ed89-4983-80ff-b517bbd400b8,belum bisa pakai estatement,functional suitability,0
a9f0dbd1-249b-41f8-b038-63d6557575c9,9l9k mmoone that,functional suitability,0
8e3a5766-57f5-485e-8c15-32e8f9df0517,pendaftaran ribet pengin bikin tabungan susah pekerjaan buruh harian kuli bngunan nomor kntor nama direktur tidak isi tidak bisa lanjutkan vervisikasi jangan bikin aplikasi tidak bisa pakai ribet,security,0
c3b3a555-44ed-439c-8122-67c7653b22aa,handphone hilang bikin rekening tidak bisa,security,0
4fc80487-555a-4b02-af26-a03455125e0d,susah verifikasi ktp,security,0
22a852a1-44f0-4350-9f1e-af9f5c484f37,daftar belum bisa login,security,0
6411fd1d-23b0-414e-8dbb-5afbd781891a,siang transfer belum masuk yaapa gangguandan uang transfer rekening,reliability,0
4f7ec06b-7dd2-4dc7-ac8d-4bd44c595656,transaksi pembayarantransfer input nominal saldo rekeningnya hide jangan ditampilin dicari enggak ada pengaturanya orang bisa mengintip belakangsamping pas bayar pakai qris bumn kalah swasta,interaction capability,0
bbfc89c9-1df9-42da-90c7-bafd3c6a3f5e,jangan bikin tabungan deh potongan perbulan mending,functional suitability,0
04dd368b-a325-4e3a-bdea-4ef4c816ddf6,tolong diperbaiki aplikasinya merugikan transfer transaksi tidak berhasil saldo berkurang customer service dana belum,functional suitability,0
f0b30f81-3828-4243-b09e-b03961aa18c6,maintenance kadang urgent transfer kena metode transfer adminnya lumayan mahal perasaan maintenancenya tidak sesering,maintainability,0
b24cab80-a447-4591-ac4e-4b023061b8a8,aplikasi sensitif cacat tidak bisa pakai password payah banget,security,0
d86e4575-9033-4a5a-849b-ee38e296842a,kurang profesional pemotongan 12000 top pulsa cuman top pulsa 15000 nasabah mending pindah asu kayak,functional suitability,0
c7cf12cb-a55e-4380-9c03-c67182aaf4ce,aplikasi lengkap banding banklain sekelas baca mbankingnya bikin bingung mending,interaction capability,0
558784e6-0d2e-49de-b845-35eb3f0f79c1,update rumit masuk aplikasi dana sejenisnya diulang masukan handphone kode tidak bisa terdektesi tidak langsung rek aplikasimakin susah sajaini jelek ganti kartu masuk sms tidak bisa buka pas pas konfirmasi semaki susah,reliability,0
3c69f5e3-c2f1-410f-85ca-6078081dfd09,top prabayar zonk saldo terpotong pulsa tidak masuk top token bikin kapok ketiga kalinya kecewa,safety,0
dd7e5af2-815a-43f1-a2e5-1146e55a1900,kurang aplikasi error menggangu transaksi pembaharuan aplikasi belum jangan dirilis,reliability,0
77c7764e-9626-4154-9d79-2b3a1ca9e36c,tidak bisa buka benerin applikasinya jangan modal maaf doang,reliability,0
a2fc75c0-07eb-4a9d-a62f-22d3529b5f70,tidak bisa ditransfer dana bisa enggak bisa,functional suitability,0
f5f50454-0871-4343-8feb-c2bfdd3c286e,susah transaksi pengaturan jam handphone melulu why,compatibility,0
5fd2a163-cc39-4d70-b2e7-79008afd2a7e,orang pikirin menyusahkan,interaction capability,0
9afc9745-9d90-4189-8615-af448428ed22,loading tidak dibuka matiin handphone tidak ngelag giliran urgent tolong diperbaiki servernya tidak,performance efficiency,0
303f0ca2-40f8-4260-a57b-ab35b5cbe74b,uang tidak transfer gagal laporan menunggu gagal proses gimana,safety,0
129f7562-1c8d-4e2f-9458-d654ae0cac93,aplikasi setahun alhamdulillah suka nyaman anak duit kirim token suruh ambil atm kenakan tarik tunai kartu kartu atm abaikan kendala buka pakai sidik jari password nomor kartu atm smnta paswordnya tidak tau kartu atm tidak pengaturan paswor libur sabtu minggu petunjuk trimakasih,functional suitability,1
f4601a6f-ad34-4058-9364-99a295459ca2,tidak bisa transfer woiiiiiii tulunggggg,security,0
2058ec12-b30d-4733-9867-bbca0bdde99c,kecewasetelah perbarui langsung top data bayar paket internet lumayan mahal tidak masuk saldo terpotonggimana solusinya,safety,0
18fc419e-01c3-46a6-bbe6-0d68f93c25de,aplikasi download tidak bisa dibuka diklik mental appnya daftar buka rekening handphone teman lancar bisa login aneh aplikasi perbankan bisa dibuka lancar handphone terbaru penyimpanan device ram longgar tidak total storage,compatibility,0
72bee6d8-1ab9-4831-b26b-45d725ca7bc5,tibatiba memperbaharui sandi,security,0
664779bd-58ba-43b4-b063-1430ab084f8b,pemeliharaan malam bayar pakai qris enggak bisa,functional suitability,0
d3fd8358-2c28-44b3-996c-e9827d3f52b8,tidak bisa transaksi jam malam,performance efficiency,0
9286a263-6adf-4cce-884d-23db501a8f43,2500 baut transaksi berkali kali 6500 biyaya kartu 5000 biyaya tambahan 3500 cek saldo bayar kayaknya,functional suitability,0
e3ef9d23-72f6-483f-be89-aff8a0ca288f,tidak bisa transfer jam zona deh automatis,flexibility,0
d1572e37-dc40-48f2-9011-fc685d6cf85c,aplikasi mudah terpercaya,security,1
e10bada4-dcff-45f5-9014-c1ad43121aec,bedanya kartu debit rekeningbank jumbo berbelit2 biaya transfer,functional suitability,0
dc871d78-5a28-49b1-a8b9-512202278fbb,tidak nyaman tidak bisa pakai darurat malam perbaikan habisnya,reliability,0
6f1a26fd-3f1c-4e9f-ba28-c5cf72cc842b,parah banget belum bisa dipakai mandirinya,reliability,0
db2836e7-3927-44d5-a807-8ebe0db9b260,tranfer tidak bisa disuruh tanggal otomatis cek tidak tanggal tertera tanggal besoknya,compatibility,0
29d8e87f-6bc1-4d03-96b3-02d3fe0bb2b7,pemeliharaan sistem berjam jam sistem aplikasi cacat swasta bisa bikin nasabah pelaporan gratis kagak belajar swasta,maintainability,0
20e7a044-682e-4126-96de-feff4b5b8e8d,berkalikali error cek pengaturan jam tanggal perangkat diatur otomatis kali coba restart clear cache memory error menyulitkan transaksi,reliability,0
b4901d95-93dc-4f1d-844b-637885a20940,buruk berhari2 tidak bisa transfer fast banget kayak lho malam pagi kadang opsi bisa transfer online diperbaiki kesini entar pengguna pindah berkwalitas,functional suitability,0
345da3be-3cc0-4e7a-80af-5e0ea45cd048,saldo tersangkut isi saldo keterangan masuk tidak masuk rekening mohon bantuannya email lambat responkurang respon,interaction capability,2
45af5931-6264-4471-83bb-62906b61dce7,semalam buka tidak bisa,reliability,0
71a5ce2a-fb5b-44b7-8dac-81a63a6c7762,payah gagal transfer,functional suitability,0
90451e75-e1c4-4491-90ea-0790c9614c1b,bintang appnya update capek,maintainability,0
099314a7-c28b-4e48-aa33-3ad42b007352,daftar livinnunggu rekeningnya tidak jadi²,functional suitability,0
a01c5ff6-4453-4e32-9000-ca17a6906efd,lancar lancar lancar mudah cepat alhamdulillah,performance efficiency,1
e66a258e-9922-417a-b72b-c5251b00d94e,uang hilang direkening orang karywan tidak bertanggung jawabdgn alasan hilng tidak kembli orang bankny tidak tanggapan tidak sebertanggung,safety,0
5d5da5ad-e009-4fc1-91b1-c800d99bd476,mbanking kunci sidik jari tidak bisa set password menunggu sms otp tidak masuk2bagaimana tidak notifikasi masuk handphone disetting notifnya tidak notifikasi masuk fitur oke,security,0
960baa7b-8e2d-4b77-b671-8478e32560bc,tidak bisa menghubungkan data kartu kredit coba update verivikasi data enggak muncul tidak terhubung kartu debit coba help center dikasi step2nya menu diinformasikan tidak aplikasi,compatibility,0
51954dc3-4feb-4d10-b279-d6a31cbce0ff,tolonglah nasabah niat nabung jaringan dioptimalkan lifin muter proses rekening rekening aplikasi tidak bisa dibuka,performance efficiency,0
891f79a8-8f15-4196-9200-e2bd37194e80,tidak amanah tukang ngambilin duit orang biaya administrasi 40rb sebulan,safety,0
a364c65e-ff30-44ea-9b87-0856db6d2dbd,bagus memudahkan nasabah proses transferan transfer qriss saldo rekening terpotong prosesnya tertunda belum terkirim mohon perhatikan,functional suitability,0
49adca46-6e98-4893-bcdd-1a2bd743e446,pinjaman lunas hilang fiturnya,functional suitability,0
6e22402e-e953-45b1-82c2-0415c54ffb37,alhamdulillah membantu sayajadi urusan mudah,functional suitability,1
2e283c44-d55e-4d6c-9562-0c2fd232d59b,membantu terima kasih,functional suitability,1
841271d1-3a66-4ada-9620-ee05db8433b6,tolong pemunculan menu pinjaman saldo dimunculkan lobby,functional suitability,2
55a61971-11ec-4677-85de-659f475d4baf,transaksi gagal aplikasi,reliability,0
19cbaf4b-0755-450e-9d38-306514091985,susah transfer top pengaturan jam otomatis ubah kayak gimana enggak bisa besok bisa besok gbisa,compatibility,0
3aaef52e-7e82-4a3d-a79a-c4c2e01c1457,bagus tidk kendala,compatibility,1
c6aa3dce-b4c3-4b79-ab21-8c1f4a6e988e,tidak bisa hapus daftar riwayat transfer keterangan diperiksa tidak bisa dihapus aegera perbaiki,functional suitability,0
05dd1684-a607-4544-9704-3246610a108a,aplikasi sampah minimal saldo ngendap banget potongan tidak,safety,0
eebc6d51-6414-4602-a225-a14c8be8b957,gimana aplikasi tidak bisa krim kah,compatibility,2
d9e9ff7d-33ed-46bc-8bca-4cd616477ed8,kumat aplikasi transfer tulisannya proses belum dilanjut coba terusmalah disuruh setting tglsampai aplikasi hapus coba lagitetep tidak bisagimana minapakah solusi kayak,reliability,0
f27dfbbc-2c12-4b28-a97f-68a391763b77,transfer gagal suruh pengaturan jam pengaturan otomatis gagal transfer pakai lihat saldo doang kah aplikasi sekelas bermasalah,compatibility,0
4cc0fe64-80c2-4c3e-a28c-302aa9ce025a,5000 mending pakai ovo gopay tidak biaya administrasi,functional suitability,1
b1bcdf86-4c67-4def-a793-2e3c1cf7133a,just share tidak bisa transaksi suruh atur jam otomatis ponsel atur otomatis buka browser ketik timeis samakan jam ponsel website jam jangan atur otomatis selesai silakan coba transaksi semoga membantu,compatibility,2
2cf492ba-ab10-4fda-9ef0-1996117541ba,tabungan saldo tidak muncul eerorsaya kurangi bintang deh tidak,reliability,0
2edae4e8-6529-4d63-b677-9766791bb802,bisa lubin lengkap aplikasi bagus terpercaya dibanding aplikasi terbaik tks,functional suitability,1
98ff77d6-712f-48b3-a9f6-394194e3dbff,susah transaksidibilang terpantau normal pakai jaringan bukan wifisdah dipantau berkalatetap tidak bsahati2 pakai disuruh email mandiricare tidak jawabanbagi belum install dlihat2 ulasan yjgn nyesal,performance efficiency,0
8b0c464d-627c-4441-ae15-d2bf424308b0,enggak jelas banget enggak bisa login customer service kantor kayak bad banget,security,0
7364cb26-ee50-4b05-9e52-5c9a1a040bce,mudah gampang transaksi,interaction capability,1
712844f1-35d7-4f10-813f-f78f84c645d1,pakai mudah berguna,functional suitability,1
9c009123-6756-49b8-8ab1-87cd1c832e11,parah tidak bisa ajukan kartu kredit online,functional suitability,0
30ce3167-d034-45b9-bddb-42d86248a8c0,error bersahabat nasabah butuhkan transfer error tidak bisa terbuka mohon kemudahan nasabah,security,0
b46153cd-841b-412e-8e1f-05d5cab92045,atur jam otomatis otomastis,compatibility,2
edba86b6-2e58-4dbc-b9d0-1391c6ffe99e,enggak bisa buka rekening,functional suitability,0
e1d0ac63-6bd6-4fb0-ae0d-6c4faab3bdbe,aneh kartu tidak bisa pemberitahuan belum bisa proses disuruh coba gagall,reliability,0
c564f6cf-78e0-44b0-af95-a27c86599b24,puas dangan aplikasi inijossss,functional suitability,1
73f3ef89-3e92-443f-b450-a5128e868cf3,aplikasinya tidak bisa kirim uang aplikasi dana tolong,functional suitability,0
9c7c279c-55b4-4f0a-8bb4-ee6e8c478fea,ruwet tidak bisa buka rek online,functional suitability,0
f4c55a02-1320-4296-a500-8cfe9d605f7f,loginnya masukkan debit aktif tidak bisa,security,0
c115bda4-cedf-432a-aa81-22c6f6a98953,mudah cepat efesien,performance efficiency,1
e657731f-3a20-4603-96c4-606250bde54d,terima kasih membantu bertransaksi,functional suitability,1
4e3199d4-6b04-452b-9a78-677e6d334b1a,jadwalnya pengguna fast transfersoalnyaa transfer tidak layanan fast,functional suitability,0
9e9965e0-b37d-4566-ae7d-04a715f444f0,lelah tidak hasil,performance efficiency,0
9238b401-790c-4259-b1a8-8bf02c6ff1e7,tidak bisa buka alplikasi,reliability,0
bd7ad9f2-ae17-46b9-9ccf-5f93607d2431,bintang kalo bagus kasih bintang,interaction capability,1
ed72d9f1-264e-496d-8113-6370c3919161,butuh pengoptimalan seringkali susah login tidak bisa sekaliiiiiui,security,0
2ff9c2fc-81e5-4316-8877-de1987d2933b,sambungan dana gagal nomer tidak temukan bisa terhubung tolong aplikasi mbanking jangan bercanda kayak pelawak monyet,functional suitability,0
a57bfb52-65af-4511-b235-d15f619c7e8b,keseringan pemeliharaan keganggu mendasak,maintainability,0
f8808205-a904-4add-975f-4d970d3dadb2,pemeliharaan menyusahkan anying giliran pakai tidak bisa pemeliharaan,maintainability,0
af3c1374-6807-4cec-8bb9-007440565345,aplikasi bagus mempermudah transaksi,functional suitability,1
bfb5f7eb-524b-4145-9f1a-588a25123800,update tidak bisa pakai transfer saldo situ tolong benerin,security,0
c230d38d-ce93-47fd-a7e2-bcac6f2fc4ee,aplikasi problem top kendala tinggalkan halamanlog out dicoba sesuai arahan coba hadehhhh ribet dipersulit,interaction capability,0
aa3d3dd8-6c67-45e7-96c8-3c5a641a379a,trouble update fasilitas kurang,functional suitability,0
3f319de8-f758-489f-9e66-b5d93ecad756,belum kenapa2 pokokny best,functional suitability,1
7e1bbffb-8cf9-4fd8-88d3-b70ff50f72b5,susah selfieribet amatgue transfer uang makan anakburu buru faftar pakai acara ferifikasi wajah,security,0
8e9e55fb-0293-40ac-b845-94cb38cca290,menu komplittapi update versi susah terinstal handphone,compatibility,0
54587d86-8e2d-4907-94af-8ea9e4ac93eb,buruk aplikasi tidak recommended nasabah 2018 kecewa transaksi transfer menunggu ber jam jam bisa bertransaksi aneh,performance efficiency,0
83bda1a0-4cf4-4ebd-ac78-287613e45279,tidak malam kebutuhan transfer troble terua tolong kerjasamanya,functional suitability,0
4d9b7866-959d-4276-817f-9d186c92bae6,tolong aplikasi hapus masak jam 0203 malam tidak bisa transferan tolong laah hapus aplikasi,functional suitability,0
72b0f8e9-ef7d-4e2e-9663-068d85df093b,enggak perubahan transfer top kadang error batasi jam operasional aplikasi lemot jaringan buruk pemeliharaan makan tidak bisa mendadak bumn kayak kalah swasta,performance efficiency,0
2dad9bcd-8874-4df0-9ccb-93016e2f9cbb,tuhan banget kendalanyadari transfer gagal tidak bisa selancar mobile banking trslama2 pindah mobile banking kaya gila bikin sakit kepala error,reliability,0
62e1c3f6-c8ff-4ee0-ac84-f808297aa46a,malam tidak bisa transaksi aplikasi malam pemeliharaan,maintainability,0
b3188c2c-de0f-4bfd-8389-7a46f2866146,malam subuh tidak bisa transfer tarik uang seandainya argen pembayaran,functional suitability,0
37fd850b-1c3b-4d94-aad6-96c119f8477c,malam transfer enggak bisa mulu enggak jelas,functional suitability,0
194fb5d0-bdea-4454-8f8b-17e781b09f10,lama-lama tidak transfer ggal mulu banget gangguan brekele malas pakai,reliability,0
c73b8f23-131a-4282-bcd3-8fe1212f2d51,macet tidak bisa buka,performance efficiency,0
d700b47c-4f7a-4120-9361-eb698e38a494,buruk susah buka aplikasi tidak bisa pakeawal lancar bisa bukasudah aplikasi tidak bisa buka,reliability,0
9bf93b31-5941-4b2f-a381-c6a8aed0f489,apgred aplikasi tidak instal mohon trimakasih,maintainability,2
bcdf3d29-c535-4496-8312-7d3a3c60f708,login akun dminta masuk kartus3mentara belum pernh kartu atmmohon bantuannya jadiny belum bisa login,security,2
76145eee-a974-4655-8ecf-d1d1200163ce,mudah bertransaksi pakai tidak ribet,functional suitability,1
1b89ddb3-f674-4cbf-b431-c137238cb819,tolong perbaiki sistem ksm jangan tarik membayar tarik saldo rekening konsumen melapor tolong respon jangan diam email whatsapp,functional suitability,0
00e15d21-068a-494f-aafd-0061bc85388c,mantap berkembang jangan puas titik,functional suitability,1
287eeef0-209a-4ff6-ab14-da6a31c044bd,perbaharui menyebalkan yaloadingnya bangetz,performance efficiency,0
c1757724-ba4d-4797-8616-9e7afa243b77,gangguan kadangkadang susah akses,reliability,0
e71439c0-39a2-4133-b63a-c4e38b6b184d,atm terblokir habis pas peng updatan sandi salah terblokir viturnya tolong jelasin,security,0
61703993-e9d8-4a54-b07f-41680b69ee1c,tidak bisa buka verifikasi belum kode otp sms,security,0
8806fe19-d9ee-4d7d-9c5d-42e94575e14f,bagus enggak lemot,performance efficiency,1
b53af60e-267e-47e6-81aa-c4ae9e78d56f,menu multipaymentnya dimana bayar beli kuota telkomsel susah aneh,interaction capability,0
982d9e5a-80d1-48e1-9aec-a9d383ee7bcb,aplikasi tidak bisa buka,reliability,0
5302a734-db95-44fe-89fa-e989e2efed10,pajak tidak jlas motong tidak braturan,functional suitability,0
c4b4705b-42ec-4b34-89a5-8412abe1b7fc,aplikasi tolol duit hilang enggak bisa transaksi,safety,0
233d4060-1151-4bdd-91dd-ff91355eccec,kartu belum saldo belum salah password data kartumenu login hilang serius aplikasi hapus beginitidak perbaikan,functional suitability,0
4f182027-02a1-4ce2-bba2-3615337c22fb,tolong diperluaskan pembayaran tagihan ecommerce,functional suitability,2
02ebb6cd-9931-47b5-b517-5a0ebeb18302,susah banget kode otp coba kali tidak,security,0
06f7bd8b-d115-4c98-9b14-9f2e11175bd1,susah mengirim kode otp benahi bisa pilihan bukan pilihan kayak dipersulit,security,0
d01eb6f2-412c-4a60-9658-315a72dfa7ac,tidak bisa buka,reliability,0
a3433415-4137-47ac-97cc-a24af68fbb6d,dipakai tidak bisa terbuka pagi sore heng,reliability,0
79adbdf7-8009-4029-908b-5cee9f294a9b,very good aplikasi,functional suitability,1
3d415623-25a5-4465-aa34-e096e205eadc,suruh update perasaan sebelah tidak update riwayat transferan masuk tidak,functional suitability,0
e976390c-e0d5-4656-8508-919fac8a4173,terdepan terpercaya tumbuh,functional suitability,1
b3747d33-4b49-49fc-88e7-cb3b6e2575ee,bintang deh menu promo beranda livinn belum lengkap,functional suitability,0
fd6db10a-ce26-491d-9772-f20fa0d42938,ganti password iya bagus otp tidak masuk repot,security,0
7d2369f8-148e-463e-95b9-8e6e9cdf6226,top pulsa tidak bisapadahal kemarin kemarin bisa lopadahal saldo banyakmohon perbaiki initerima kasih,safety,0
3afbfd62-52ab-43ba-9ca6-1882a49a1021,aaahhhdiupdate bukan mudah susah transfer pembayaran lainnyaanehh,performance efficiency,0
c9839757-6a0b-41d0-a7d3-f6b2a31bba8a,kenapasi banget update,maintainability,0
499328c0-4622-4897-98ef-401118dfb708,update bolehhh wkwkw,maintainability,1
a28a1686-5d29-4902-b5f8-6f5dee6004ec,date capek upload,flexibility,0
5ccd6ce8-d483-4206-ba1a-dc800b2ff7c2,maaf bos enggak bisa mlakukan transaksigagal tfmau top enggak bisa knapa pakai apa-apa enggak bisa bisanya mengecek saldo doang,functional suitability,0
a606d2de-c939-4029-a240-e037b434eccd,tidak bisa transferketerangannya suruh ganti pengaturan jam otomatispadahal ganti tidak bisa transfer keterangannya samasolusinya gimana,compatibility,0
784d2a1f-7465-48b4-8998-6b3d983e7de9,kode otp tidak masuk,security,0
9c7fe4c1-90e8-4a26-abeb-845aaabfd0c1,jadwal pemeliharaan rutinnya mengganggu malam 2245 0245 wib mengganggu butuh transaksi malam tolong persingkat terimakasih,reliability,0
56fbe9bc-9202-41a4-b7da-d271d0cd6309,keluhan download ragu bintang,functional suitability,0
2d010d87-72e1-485b-8aac-2c4c244387f9,tidak bisa top ewalet dana,functional suitability,0
2fc6d9d6-d29d-467b-a954-dfa48bc9d365,transaksi diatas jam kendalanya kayak kemarin war tiket kereta bayar alfagift enggak bisa pembayaran tidak berhasil ayolah sekelas bumn diperbaiki,functional suitability,0
652dc877-f60b-40c3-836b-d4a341e2f013,tolong aplikasi tingkatin jarang bisa buka,interaction capability,0
d8c53290-8bbe-4c39-bb44-63f99fe2eef8,deh login menunggu otp kekirim2 coba berkali2 suruh menunggu jam data nomor tolong dibenerin,security,0
42565c21-adc9-4a84-9665-8e3b7c8a276a,aplikasi bikin sakit mata kedip tidak bisa payahdan sesuai prosedur sakit mata begoin aplikasi mandiritolong kedip mata jangan adakansakit mata,interaction capability,0
bd7fd66e-5839-4bb1-9267-1f6d3e5bb7f8,maaf tidak bisa buka rek,security,0
d1d3a14a-f0b6-4eea-ab10-feb508e75bff,sngat membantu mempermudah transaksi,functional suitability,1
0e62f33b-d804-402a-bc34-25099e882872,taiiiiii lag bug rekening ketiak dajjal,performance efficiency,0
6b5a7714-d9db-4339-9fd0-5fb2ea9d45bc,login aplikasi tidak mengirimkan kode otp aplikasi sangan jelek,security,0
03b36ad6-b4b9-431c-b280-368aa58bffe5,selamat pagi bengking enggak tftop lainya error,reliability,0
482654a3-61b4-4a1e-99a1-51a6f062240e,kebanyakan kendala log daftar kembalidata enggak bisa masukkadang suka blokir,security,0
55a01deb-5b0e-4004-867d-e3c4bc54d5d7,malas pakai transaksi cek pengaturan tanggal suruh tinggalkan halaman coba,interaction capability,0
72a0342e-4016-4f5a-ad96-a9df0b02bf68,kebanyakan biaya potonganudah minimal saldo 100rb perbulan dipotong 20rban,functional suitability,0
1a694d14-f018-4cd6-8cb1-901a2d62d863,tolong otp jangan persulitkalau jaringanyg aman aman lho,security,2
dbf67ec8-37df-4d18-b940-b0b21e5b7087,puas aplikasi membantu aktivitas keuangan,functional suitability,1
14de8c9d-83ca-42d8-9db3-ddc361dc51a7,menu pinjaman tidak muncul tau,functional suitability,0
4ed7d08c-9de5-4fa9-9d5a-538bf55219b9,masuk handphone susah otp tidak sungguh kemunduran,security,0
27dfe3f9-7261-481b-92ce-f4147748140d,keren banget lengkap banget menunya,functional suitability,1
18748ebd-a4c8-4f48-873a-57265221868f,kenpa tidak bisa verifikasi otp,security,0
1a9ff6e9-6134-41b3-a33f-f210bff357ff,lanjutkan perjuangan indonesia,functional suitability,2
611a0d62-f75c-4b15-8402-004bb1c4f586,error mulu tidak bisa transaksi tidak updatesuruh update tanggal dihppadahal daa benertolong diperbaiki kinerjanya kasihan nasabah,performance efficiency,0
1831e706-8e08-46ac-809b-677160b700c0,skrg2 tidak bisa transfer inu rekening dana coba benerin bisa tidak bisa,functional suitability,0
51618850-a3cf-436b-abf3-cf688e77e91e,aplikasi paylater tidak menu,functional suitability,0
2859e8af-c601-4de5-98d5-cfd8104c4031,kode otp tidak masuk masuk kamerin,security,0
fb124cd7-47a6-426a-abe3-e9e244a771e0,login masuk password salah password,security,0
785f75fe-52ed-4aed-b1a5-2788e94fbfc3,memasukkan tanggal lahir nomor telepon benartapi tidak bisa masukwah kecewa banget,security,0
f3288642-19e3-401c-a164-a5286d9e4c26,enggak bisa transfer,functional suitability,0
b014d9b3-b562-436c-ba51-3f5276135d7b,aplikasi error tidak bisa bertransaksi mohon bantuannya,functional suitability,0
f8d64a09-2c85-4483-a61c-99108ecabdb3,gangguan transaksi cek saldo 0rupiah saldo tolong dioptimalkan biar enak transaksi tidak,functional suitability,0
e34692c9-8309-4995-a4f1-a9d611c626f0,benerin susah bangetharus pagisedangkan jam siang tidak bisa ngantripadahal tidak penuh banget kerjanya jam tau orang mediasekalian bikin berita acara masyarakat memilih jam kerja,interaction capability,0
41801dab-0ad0-481f-92ef-691a06481a54,kode otp kode otp set tidak kasih kasih nomor telpon aplikasi tidak,security,0
26ec7602-36a7-42b5-a279-f7969b97d176,salah pinpin keblokir merubah pin kode otpkode otp tidak kirim2lah kekmanaaa aaaiissshhparaaahh jam tidak kirim2,security,0
159cab8a-435d-454a-806d-e5ea5af10edb,parah banyakan gangguan kesini kurang,reliability,0
be40d239-144a-4e1d-bca6-821a1b918b4d,bingung daftarnya terdaftar rekeningnya belum tau login tidak tau login nabung,functional suitability,0
2b2c54d6-bd7c-4aa1-9d2f-e81984b6cd7f,mudah transaksi bisa,functional suitability,1
6293c74f-c03b-4b4c-821e-86bf2a764288,upgrade tidak bisa dipakaigimana niat melayani nasabah tidak,functional suitability,0
cb62abfc-9085-48de-bc9a-f0b24bbf0605,tidak kliar paylaternya,functional suitability,0
a70d8dba-a197-4581-84e1-1d9311e5e76c,bagus memudahkan bertransaksi,functional suitability,1
c044b7dd-b61b-495b-aff8-f1521642bfa4,loadingnya lambat kadang kesel transaksi,performance efficiency,0
643bb6e7-2334-4410-ad97-5fe7f3cd58cd,setor tunai uang tidak masuk saldo atm rusak,safety,0
